taxon,lfc,se,W,p,q,diff_robust,passed_ss,Fraction,Kingdom,Phylum,Class,Order,Family,Genus,Lowest,label
ASV1457,-1.259301165,0.467059547,-2.696232576,0.01261515,0.031950135,FALSE,FALSE,Bulk,Bacteria,Bacillota,Bacilli,Alicyclobacillales,Alicyclobacillaceae,Tumebacillus,Tumebacillus,ASV1457_Tumebacillus
ASV1459,-1.777990263,0.442722813,-4.016034887,5.06E-04,0.002904709,TRUE,TRUE,Bulk,Bacteria,Chloroflexota,Chloroflexia,Kallotenuales,AKIW781,NA,AKIW781,ASV1459_AKIW781
ASV146,1.087587222,0.445840422,2.439409189,0.022477306,0.051844978,FALSE,FALSE,Bulk,Bacteria,Gemmatimonadota,Longimicrobiia,Longimicrobiales,Longimicrobiaceae,NA,Longimicrobiaceae,ASV146_Longimicrobiaceae
ASV1479,-0.268282483,0.332916844,-0.805854337,0.428239655,0.56347323,FALSE,TRUE,Bulk,Bacteria,Actinomycetota,Actinobacteria,Micrococcales,Intrasporangiaceae,Pedococcus-Phycicoccus,Pedococcus-Phycicoccus,ASV1479_Pedococcus-Phycicoccus
ASV148,-1.259731971,0.8156185,-1.544511277,0.135549431,0.224948199,FALSE,TRUE,Bulk,Bacteria,Chloroflexota,Anaerolineae,Ardenticatenales,Ardenticatenaceae,NA,Ardenticatenaceae,ASV148_Ardenticatenaceae
ASV1482,-0.48664684,0.511058001,-0.952234068,0.350470727,0.482604065,FALSE,TRUE,Bulk,Bacteria,Myxococcota,Polyangiia,Nannocystales,Nannocystaceae,Nannocystis,Nannocystis,ASV1482_Nannocystis
ASV1484,0.761611674,0.568762193,1.339068743,0.193093779,0.299295357,FALSE,TRUE,Bulk,Bacteria,Myxococcota,Polyangiia,Haliangiales,Haliangiaceae,NA,Haliangiaceae,ASV1484_Haliangiaceae
ASV1491,-0.619361657,0.522295495,-1.185845297,0.247291515,0.367147365,FALSE,TRUE,Bulk,Bacteria,Planctomycetota,Phycisphaerae,Tepidisphaerales,WD2101 Bulk group,NA,WD2101_Bulk_group,ASV1491_WD2101_Bulk_group
ASV1492,-2.104532441,0.460604585,-4.56906533,1.24E-04,9.83E-04,TRUE,TRUE,Bulk,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Beijerinckiaceae,Enterovirga,Enterovirga,ASV1492_Enterovirga
ASV1494,-1.280027748,0.600835138,-2.130414264,0.043586472,0.088660147,FALSE,TRUE,Bulk,Bacteria,Planctomycetota,Planctomycetes,Isosphaerales,Isosphaeraceae,Tautonia,Tautonia,ASV1494_Tautonia
ASV1496,0.220862255,0.473561318,0.466385759,0.645145045,0.755267991,FALSE,TRUE,Bulk,Bacteria,Abditibacteriota,Abditibacteriia,Abditibacteriales,Abditibacteriaceae,Abditibacterium,Abditibacterium,ASV1496_Abditibacterium
ASV15,0.432460613,0.549448064,0.787081876,0.438937858,0.572688283,FALSE,TRUE,Bulk,Bacteria,Verrucomicrobiota,Verrucomicrobiia,Chthoniobacterales,Chthoniobacteraceae,NA,Chthoniobacteraceae,ASV15_Chthoniobacteraceae
ASV1503,0.150164973,0.431236201,0.348219777,0.730711076,0.8119734,FALSE,TRUE,Bulk,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,MWH-CFBk5,NA,MWH-CFBk5,ASV1503_MWH-CFBk5
ASV151,-0.617067053,0.565451343,-1.091282319,0.285983584,0.413502384,FALSE,TRUE,Bulk,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Adhaeribacter,Adhaeribacter,ASV151_Adhaeribacter
ASV1511,0.067197199,0.484519519,0.138688322,0.890853604,0.932617643,FALSE,TRUE,Bulk,Bacteria,Planctomycetota,Phycisphaerae,Tepidisphaerales,Tepidisphaeraceae,NA,Tepidisphaeraceae,ASV1511_Tepidisphaeraceae
ASV1515,-2.166536537,0.589629545,-3.674402948,0.001194285,0.005319374,TRUE,TRUE,Bulk,Bacteria,Verrucomicrobiota,Verrucomicrobiia,Chthoniobacterales,Chthoniobacteraceae,Chthoniobacter,Chthoniobacter,ASV1515_Chthoniobacter
ASV1517,-2.348559811,0.44181583,-5.315698653,1.87E-05,2.38E-04,TRUE,TRUE,Bulk,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Cnuella,Cnuella,ASV1517_Cnuella
ASV1518,-1.978910519,0.448848034,-4.408865297,1.87E-04,0.001303902,TRUE,TRUE,Bulk,Bacteria,Acidobacteriota,Acidobacteriae,Bryobacterales,Bryobacteraceae,Bryobacter,Bryobacter,ASV1518_Bryobacter
