taxon,lfc,se,W,p,q,diff_robust,passed_ss,Biocrust,Kingdom,Phylum,Class,Order,Family,Genus,Lowest,label
ASV1175,1.863899017,0.734353554,2.538149378,0.01804936,0.064652215,FALSE,TRUE,L-BSC,Bacteria,Pseudomonadota,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Phenylobacterium,Phenylobacterium,ASV1175_Phenylobacterium
ASV118,-0.806358075,0.802288839,-1.005072034,0.32488867,0.527793118,FALSE,TRUE,L-BSC,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,NA,Sphingomonadaceae,ASV118_Sphingomonadaceae
ASV1180,-1.220154346,0.505534048,-2.413594794,0.023790319,0.077875426,FALSE,TRUE,L-BSC,Bacteria,Chloroflexota,Chloroflexia,Kallotenuales,Kallotenuaceae,Kallotenue,Kallotenue,ASV1180_Kallotenue
ASV1186,0.04595382,0.425358649,0.108035466,0.914865687,0.947078965,FALSE,TRUE,L-BSC,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cytophagaceae,Sporocytophaga,Sporocytophaga,ASV1186_Sporocytophaga
ASV119,0.735252376,0.753186268,0.9761893,0.33870837,0.54381842,FALSE,TRUE,L-BSC,Bacteria,Armatimonadota,Armatimonadia,Armatimonadales,Armatimonadaceae,NA,Armatimonadaceae,ASV119_Armatimonadaceae
ASV1192,-0.62398195,0.591472059,-1.054964373,0.30194664,0.503628555,FALSE,TRUE,L-BSC,Bacteria,Planctomycetota,Planctomycetes,Isosphaerales,Isosphaeraceae,Tautonia,Tautonia,ASV1192_Tautonia
ASV1195,1.284984213,0.60521184,2.123197412,0.044244752,0.127261141,FALSE,TRUE,L-BSC,Bacteria,Armatimonadota,Fimbriimonadia,Fimbriimonadales,Fimbriimonadaceae,NA,Fimbriimonadaceae,ASV1195_Fimbriimonadaceae
ASV1196,0.16492947,0.702017905,0.234936272,0.816251127,0.898493054,FALSE,TRUE,L-BSC,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Adhaeribacter,Adhaeribacter,ASV1196_Adhaeribacter
ASV120,1.441699446,0.476228959,3.027324185,0.005815123,0.027621833,FALSE,FALSE,L-BSC,Bacteria,Gemmatimonadota,Longimicrobiia,Longimicrobiales,Longimicrobiaceae,NA,Longimicrobiaceae,ASV120_Longimicrobiaceae
ASV1200,-0.154716193,0.524033327,-0.295241133,0.770348782,0.873261784,FALSE,TRUE,L-BSC,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,Fimbriiglobus,Fimbriiglobus,ASV1200_Fimbriiglobus
ASV1205,-0.677171572,0.459580463,-1.473455959,0.153623968,0.307952633,FALSE,TRUE,L-BSC,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,env.OPS 17,NA,env.OPS_17,ASV1205_env.OPS_17
